,time,open,high,low,close,volume
0,2025-04-22,11.8,13.6,11.8,12.0,11700
1,2025-04-24,10.4,10.4,10.4,10.4,1800
2,2025-04-25,10.4,11.9,10.4,11.9,1800
3,2025-04-28,10.1,10.2,10.0,10.2,2400
4,2025-04-29,10.2,10.2,10.2,10.2,100
5,2025-05-09,8.8,8.8,8.8,8.8,100
6,2025-05-13,7.5,7.6,7.5,7.6,200
7,2025-05-14,7.1,7.1,7.1,7.1,100
8,2025-05-15,8.1,8.1,8.1,8.1,800
9,2025-05-16,9.3,9.3,8.6,8.6,500
10,2025-05-19,10.2,10.2,7.6,7.6,1100
11,2025-05-20,10.3,10.3,8.7,8.7,1100
12,2025-05-21,8.5,10.0,8.5,8.6,1100
13,2025-05-22,10.0,10.0,10.0,10.0,800
14,2025-05-23,8.5,11.0,8.5,11.0,1500
15,2025-05-27,8.5,8.5,8.5,8.5,300
16,2025-05-28,7.4,9.7,7.4,9.7,900
17,2025-05-29,10.2,10.2,10.2,10.2,200
18,2025-05-30,8.7,10.7,8.7,10.7,400
19,2025-06-09,8.8,8.8,8.8,8.8,100
20,2025-06-10,9.5,9.5,9.5,9.5,200
21,2025-06-11,8.3,10.5,8.3,10.5,300
22,2025-06-13,10.5,10.5,10.5,10.5,100
23,2025-06-19,9.0,10.3,9.0,10.3,300
24,2025-06-23,8.5,8.5,8.5,8.5,100
25,2025-06-24,9.7,9.7,9.7,9.7,500
26,2025-06-25,10.7,10.7,10.5,10.5,300
27,2025-06-26,10.5,10.5,10.5,10.5,200
28,2025-06-30,10.5,10.5,10.5,10.5,100
29,2025-07-04,9.1,9.1,9.0,9.0,1600
30,2025-07-07,10.2,10.2,10.1,10.1,300
31,2025-07-10,10.1,10.1,10.1,10.1,100
32,2025-07-23,11.6,11.6,9.2,9.2,300
33,2025-07-25,9.0,9.0,9.0,9.0,400
34,2025-07-28,8.0,9.8,8.0,9.8,400
35,2025-07-31,8.1,8.1,8.1,8.1,100
36,2025-08-01,9.1,9.1,9.1,9.1,100
37,2025-08-04,8.1,9.5,8.1,9.5,300
38,2025-08-05,8.1,8.1,8.1,8.1,100
39,2025-08-06,9.2,9.2,9.2,9.2,200
40,2025-08-11,8.1,8.1,8.1,8.1,100
41,2025-08-12,9.2,9.2,6.9,6.9,200
42,2025-08-13,9.1,9.1,9.1,9.1,2200
43,2025-08-19,9.0,9.0,9.0,9.0,1100
44,2025-08-20,7.7,9.3,7.7,9.3,300
45,2025-08-22,7.4,9.3,7.4,9.3,300
46,2025-08-25,9.2,9.2,9.2,9.2,100
47,2025-09-05,7.9,7.9,7.9,7.9,100
48,2025-09-08,9.0,9.0,9.0,9.0,200
49,2025-09-09,7.7,7.7,7.7,7.7,700
50,2025-09-11,6.9,8.7,6.9,6.9,400
51,2025-09-19,6.7,8.9,6.7,8.9,200
52,2025-09-22,6.7,6.7,6.7,6.7,100
53,2025-09-23,7.6,7.6,7.6,7.6,1200
54,2025-09-24,8.6,8.6,8.6,8.6,100
55,2025-09-26,8.6,8.6,8.6,8.6,500
56,2025-09-29,8.6,8.6,8.6,8.6,500
57,2025-09-30,9.7,9.7,9.7,9.7,100
