,time,open,high,low,close,volume
0,2024-10-08,16.5,16.5,16.5,16.5,100
1,2024-10-09,18.9,18.9,18.9,18.9,99900
2,2024-10-10,21.7,21.7,21.7,21.7,24000
3,2024-10-11,24.9,24.9,19.0,24.7,410400
4,2024-10-14,24.7,25.6,19.1,22.3,442600
5,2024-10-15,24.2,24.2,18.3,19.5,315200
6,2024-10-16,19.0,19.9,17.3,17.8,154500
7,2024-10-17,17.0,18.0,17.0,17.0,124400
8,2024-10-18,17.0,17.4,15.5,17.4,185000
9,2024-10-21,16.2,17.4,16.1,16.3,61200
10,2024-10-22,16.1,16.4,16.0,16.1,77300
11,2024-10-23,16.0,18.6,16.0,18.6,256900
12,2024-10-24,18.3,20.2,18.1,20.0,194300
13,2024-10-25,19.2,20.5,18.0,18.9,191000
14,2024-10-28,19.2,20.0,18.0,18.8,154300
15,2024-10-29,18.7,19.5,16.5,16.6,168100
16,2024-10-30,17.9,18.0,16.1,17.0,122900
17,2024-10-31,16.8,17.4,16.1,16.4,155900
18,2024-11-01,15.7,17.3,15.7,16.2,124700
19,2024-11-04,16.3,16.8,15.9,16.1,103900
20,2024-11-05,16.2,16.4,15.5,16.0,140600
21,2024-11-06,15.6,15.9,15.0,15.0,93200
22,2024-11-07,15.1,16.0,14.7,14.9,91600
23,2024-11-08,15.0,15.1,14.5,14.8,96500
24,2024-11-11,14.6,14.6,14.1,14.2,53000
25,2024-11-12,14.4,14.4,14.1,14.1,34500
26,2024-11-13,14.4,14.5,14.1,14.3,84800
27,2024-11-14,14.2,15.0,14.2,14.4,71500
28,2024-11-15,14.5,14.6,14.4,14.6,51700
29,2024-11-18,14.6,14.8,14.4,14.6,43100
30,2024-11-19,14.6,15.0,14.4,14.6,48600
31,2024-11-20,14.5,16.7,14.4,16.7,94700
32,2024-11-21,17.5,17.9,15.8,17.9,184400
33,2024-11-22,18.5,19.7,16.0,18.2,221200
34,2024-11-25,18.0,19.9,16.0,17.4,231900
35,2024-11-26,17.9,18.8,16.0,16.8,142300
36,2024-11-27,16.8,17.4,15.3,15.9,92400
37,2024-11-28,16.3,16.3,15.4,15.7,44200
38,2024-11-29,15.9,15.9,15.1,15.2,67900
39,2024-12-02,15.4,15.7,15.0,15.6,33200
40,2024-12-03,15.5,16.0,15.2,15.4,125600
41,2024-12-04,15.4,15.7,15.2,15.4,170200
